trip_id,pattern_id,pattern_name
13465916,282085,E2
13465919,282085,E2
13465921,282085,E2
13465922,282085,E2
13465923,282085,E2
13465924,282085,E2
13465927,282085,E2
13465931,282085,E2
13465932,282085,E2
13465934,282085,E2
13465935,282085,E2
13465937,282085,E2
13465940,282085,E2
13465941,282085,E2
13465943,282085,E2
13465947,282085,E2
13465949,282085,E2
13465950,282085,E2
13525757,282085,E2
13525759,282085,E2
13525800,282085,E2
13525804,282085,E2
13525806,282085,E2
13525807,282085,E2
13525808,282085,E2
13525809,282085,E2
13525816,282085,E2
13525827,282085,E2
13525835,282085,E2
13525839,282085,E2
13465550,282086,W1
13465552,282086,W1
13465553,282086,W1
13465554,282086,W1
13465555,282086,W1
13465556,282086,W1
13465557,282086,W1
13465559,282086,W1
13465560,282086,W1
13465564,282086,W1
13465565,282086,W1
13465567,282086,W1
13465568,282086,W1
13465569,282086,W1
13465570,282086,W1
13465571,282086,W1
13465572,282086,W1
13465573,282086,W1
13465574,282086,W1
13465577,282086,W1
13465578,282086,W1
13465579,282086,W1
13465580,282086,W1
13465581,282086,W1
13465582,282086,W1
13465585,282086,W1
13465586,282086,W1
13465588,282086,W1
13465590,282086,W1
13465591,282086,W1
13465592,282086,W1
13465593,282086,W1
13465595,282086,W1
13465596,282086,W1
13465597,282086,W1
13465599,282086,W1
13465600,282086,W1
13465601,282086,W1
13465602,282086,W1
13465603,282086,W1
13465605,282086,W1
13465608,282086,W1
13465609,282086,W1
13465610,282086,W1
13465611,282086,W1
13465612,282086,W1
13465613,282086,W1
13465616,282086,W1
13465618,282086,W1
13465619,282086,W1
13465621,282086,W1
13465625,282086,W1
13465627,282086,W1
13465628,282086,W1
13465630,282086,W1
13465632,282086,W1
13465633,282086,W1
13465634,282086,W1
13465635,282086,W1
13465637,282086,W1
13465638,282086,W1
13465640,282086,W1
13465641,282086,W1
13465642,282086,W1
13465643,282086,W1
13465645,282086,W1
13465646,282086,W1
13465647,282086,W1
13465648,282086,W1
13465649,282086,W1
13465650,282086,W1
13465651,282086,W1
13465652,282086,W1
13465653,282086,W1
13465654,282086,W1
13465655,282086,W1
13465656,282086,W1
13465657,282086,W1
13465658,282086,W1
13465756,282086,W1
13465759,282086,W1
13465760,282086,W1
13465762,282086,W1
13465763,282086,W1
13465764,282086,W1
13465765,282086,W1
13465766,282086,W1
13465767,282086,W1
13465768,282086,W1
13465769,282086,W1
13465770,282086,W1
13465771,282086,W1
13465772,282086,W1
13465773,282086,W1
13465774,282086,W1
13465775,282086,W1
13465776,282086,W1
13465777,282086,W1
13465779,282086,W1
13465780,282086,W1
13465781,282086,W1
13465784,282086,W1
13465789,282086,W1
13465790,282086,W1
13465791,282086,W1
13465794,282086,W1
13465795,282086,W1
13465796,282086,W1
13465797,282086,W1
13465798,282086,W1
13465799,282086,W1
13465800,282086,W1
13465801,282086,W1
13465802,282086,W1
13465805,282086,W1
13465807,282086,W1
13465808,282086,W1
13465811,282086,W1
13465813,282086,W1
13465814,282086,W1
13465816,282086,W1
13465818,282086,W1
13465823,282086,W1
13465824,282086,W1
13465826,282086,W1
13465828,282086,W1
13465830,282086,W1
13465832,282086,W1
13465834,282086,W1
13465837,282086,W1
13465838,282086,W1
13465839,282086,W1
13465840,282086,W1
13465841,282086,W1
13465843,282086,W1
13465845,282086,W1
13465849,282086,W1
13465951,282086,W1
13465952,282086,W1
13465957,282086,W1
13465961,282086,W1
13465962,282086,W1
13465963,282086,W1
13465964,282086,W1
13465966,282086,W1
13465967,282086,W1
13465968,282086,W1
13465969,282086,W1
13465970,282086,W1
13465971,282086,W1
13465972,282086,W1
13465973,282086,W1
13465974,282086,W1
13465977,282086,W1
13465978,282086,W1
13465979,282086,W1
13465980,282086,W1
13465981,282086,W1
13465982,282086,W1
13465983,282086,W1
13465984,282086,W1
13465985,282086,W1
13465986,282086,W1
13465987,282086,W1
13465988,282086,W1
13465989,282086,W1
13465990,282086,W1
13465991,282086,W1
13465993,282086,W1
13465994,282086,W1
13465995,282086,W1
13465996,282086,W1
13465997,282086,W1
13465998,282086,W1
13465999,282086,W1
13466000,282086,W1
13466001,282086,W1
13466005,282086,W1
13466006,282086,W1
13466008,282086,W1
13466009,282086,W1
13466010,282086,W1
13466013,282086,W1
13466014,282086,W1
13466015,282086,W1
13466016,282086,W1
13466018,282086,W1
13466020,282086,W1
13466021,282086,W1
13466022,282086,W1
13466023,282086,W1
13466029,282086,W1
13466030,282086,W1
13466031,282086,W1
13466034,282086,W1
13466035,282086,W1
13466036,282086,W1
13466037,282086,W1
13466038,282086,W1
13466039,282086,W1
13466040,282086,W1
13466041,282086,W1
