service_id,date,exception_type
1,20230904,2
1,20231009,2
1,20231225,2
1,20231226,2
101,20230905,1
101,20230906,1
101,20230907,1
101,20230908,1
101,20230911,1
101,20230912,1
101,20230913,1
101,20230914,1
101,20230915,1
101,20230918,1
101,20230919,1
101,20230920,1
101,20230921,1
101,20230922,1
101,20230925,1
101,20230926,1
101,20230927,1
101,20230928,1
101,20230929,1
101,20231003,1
101,20231004,1
101,20231005,1
101,20231006,1
101,20231010,1
101,20231011,1
101,20231012,1
101,20231013,1
101,20231016,1
101,20231017,1
101,20231018,1
101,20231019,1
101,20231020,1
101,20231023,1
101,20231024,1
101,20231025,1
101,20231026,1
101,20231027,1
101,20231030,1
101,20231031,1
101,20231101,1
101,20231102,1
101,20231103,1
101,20231106,1
101,20231107,1
101,20231108,1
101,20231109,1
101,20231110,1
101,20231114,1
101,20231115,1
101,20231116,1
101,20231117,1
101,20231120,1
101,20231121,1
101,20231122,1
101,20231123,1
101,20231124,1
101,20231127,1
101,20231128,1
101,20231129,1
101,20231130,1
101,20231201,1
101,20231204,1
101,20231205,1
101,20231206,1
101,20231207,1
101,20231208,1
101,20231211,1
101,20231212,1
101,20231213,1
101,20231214,1
101,20231215,1
101,20231218,1
101,20231219,1
101,20231220,1
101,20231221,1
101,20231222,1
1101,20230905,1
1101,20230906,1
1101,20230907,1
1101,20230911,1
1101,20230912,1
1101,20230913,1
1101,20230914,1
1101,20230918,1
1101,20230919,1
1101,20230920,1
1101,20230921,1
1101,20230925,1
1101,20230926,1
1101,20230927,1
1101,20230928,1
1101,20231002,1
1101,20231003,1
1101,20231004,1
1101,20231005,1
1101,20231010,1
1101,20231011,1
1101,20231012,1
1101,20231016,1
1101,20231017,1
1101,20231018,1
1101,20231019,1
1101,20231023,1
1101,20231024,1
1101,20231025,1
1101,20231026,1
1101,20231030,1
1101,20231031,1
1101,20231101,1
1101,20231102,1
1101,20231106,1
1101,20231107,1
1101,20231108,1
1101,20231109,1
1101,20231113,1
1101,20231114,1
1101,20231115,1
1101,20231116,1
1101,20231120,1
1101,20231121,1
1101,20231122,1
1101,20231123,1
1101,20231127,1
1101,20231128,1
1101,20231129,1
1101,20231130,1
1101,20231204,1
1101,20231205,1
1101,20231206,1
1101,20231207,1
1101,20231211,1
1101,20231212,1
1101,20231213,1
1101,20231214,1
1101,20231218,1
1101,20231219,1
1101,20231220,1
1101,20231221,1
1101,20231227,1
1101,20231228,1
1201,20230908,1
1201,20230915,1
1201,20230922,1
1201,20230929,1
1201,20231006,1
1201,20231013,1
1201,20231020,1
1201,20231027,1
1201,20231103,1
1201,20231110,1
1201,20231117,1
1201,20231124,1
1201,20231201,1
1201,20231208,1
1201,20231215,1
1201,20231222,1
1201,20231229,1
152201,20230905,1
152201,20230906,1
152201,20230907,1
152201,20230911,1
152201,20230912,1
152201,20230913,1
152201,20230914,1
152201,20230918,1
152201,20230919,1
152201,20230920,1
152201,20230921,1
152201,20230925,1
152201,20230926,1
152201,20230927,1
152201,20230928,1
152201,20231002,1
