route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6613,1,13527183,3 Main/To Waterfront Station,,0,2063580,283328,0,1
6613,1,13527184,3 Main/To Waterfront Station,,0,2063579,283328,0,1
6613,1,13527185,3 Main/To Waterfront Station,,0,2063578,283328,0,1
6613,1,13527186,3 Main/To Waterfront Station,,0,2063577,283328,0,1
6613,1,13527187,3 Main/To Waterfront Station,,0,2063582,283328,0,1
6613,1,13527188,3 Main/To Waterfront Station,,0,2063581,283328,0,1
6613,1,13527189,3 Main/To Waterfront Station,,0,2063583,283328,0,1
6613,1,13527190,3 Main/To Waterfront Station,,0,2063580,283328,0,1
6613,1,13527191,3 Main/To Waterfront Station,,0,2063577,283328,0,1
6613,1,13527192,3 Main/To Waterfront Station,,0,2063576,283328,0,1
6613,1,13527193,3 Main/To Waterfront Station,,0,2063579,283328,0,1
6613,1,13527194,3 Main/To Waterfront Station,,0,2063578,283328,0,1
6613,1,13527195,3 Main/To Waterfront Station,,0,2063582,283328,0,1
6613,1,13527196,3 Main/To Waterfront Station,,0,2063581,283328,0,1
6613,1,13527197,3 Main/To Waterfront Station,,0,2063583,283328,0,1
6613,1,13527198,3 Main/To Waterfront Station,,0,2063582,283328,0,1
6613,1,13527199,3 Main/To Waterfront Station,,0,2063581,283328,0,1
6613,1,13527200,3 Main/To Waterfront Station,,0,2063583,283328,0,1
6613,1,13527201,3 Main/To Waterfront Station,,0,2063575,283328,0,1
6613,1,13527202,3 Main/To Waterfront Station,,0,2063577,283328,0,1
6613,1,13527203,3 Main/To Waterfront Station,,0,2063574,283328,0,1
6613,1,13527204,3 Main/To Waterfront Station,,0,2063575,283328,0,1
6613,1,13527205,3 Main/To Waterfront Station,,0,2063574,283328,0,1
6613,1,13527206,3 Main/To Waterfront Station,,0,2063579,283328,0,1
6613,1,13527207,3 Main/To Waterfront Station,,0,2063578,283328,0,1
6613,1,13527208,3 Main/To Waterfront Station,,0,2063582,283328,0,1
6613,1,13527209,3 Main/To Waterfront Station,,0,2063581,283328,0,1
6613,1,13527210,3 Main/To Waterfront Station,,0,2063583,283328,0,1
6613,1,13527211,3 Main/To Waterfront Station,,0,2063579,283328,0,1
6613,1,13527212,3 Main/To Waterfront Station,,0,2063578,283328,0,1
6613,1,13527213,3 Main/To Waterfront Station,,0,2063582,283328,0,1
6613,1,13527214,3 Main/To Waterfront Station,,0,2063581,283328,0,1
6613,1,13527215,3 Main/To Waterfront Station,,0,2063583,283328,0,1
6613,1,13527216,3 Main/To Waterfront Station,,0,2063575,283328,0,1
6613,1,13527217,3 Main/To Waterfront Station,,0,2063577,283328,0,1
6613,1,13527218,3 Main/To Waterfront Station,,0,2063575,283328,0,1
6613,1,13527219,3 Main/To Waterfront Station,,0,2063574,283328,0,1
6613,1,13527220,3 Main/To Waterfront Station,,0,2063579,283328,0,1
6613,1,13527221,3 Main/To Waterfront Station,,0,2063578,283328,0,1
6613,1,13527222,3 Main/To Waterfront Station,,0,2063582,283328,0,1
6613,1,13527223,3 Main/To Waterfront Station,,0,2063583,283328,0,1
6613,1,13527224,3 Main/To Waterfront Station,,0,2063574,283328,0,1
6613,1,13527225,3 Main/To Waterfront Station,,0,2063579,283328,0,1
6613,1,13527226,3 Main/To Waterfront Station,,0,2063579,283328,0,1
6613,1,13527227,3 Main/To Waterfront Station,,0,2063575,283328,0,1
6613,1,13527228,3 Main/To Waterfront Station,,0,2063575,283328,0,1
6613,1,13527229,3 Main/To Waterfront Station,,0,2063574,283328,0,1
6613,1,13527230,3 Main/To Waterfront Station,,0,2063576,283328,0,1
6613,1,13527231,3 Main/To Waterfront Station,,0,2063579,283328,0,1
6613,1,13527232,3 Main/To Waterfront Station,,0,2063582,283328,0,1
6613,1,13527233,3 Main/To Waterfront Station,,0,2063581,283328,0,1
6613,1,13527234,3 Main/To Waterfront Station,,0,2063580,283328,0,1
6613,1,13527235,3 Main/To Waterfront Station,,0,2063575,283328,0,1
6613,1,13527236,3 Main/To Waterfront Station,,0,2063576,283328,0,1
6613,1,13527237,3 Main/To Waterfront Station,,0,2063579,283328,0,1
6613,1,13527238,3 Main/To Waterfront Station,,0,2063582,283328,0,1
6613,1,13527239,3 Main/To Waterfront Station,,0,2063581,283328,0,1
6613,1,13527240,3 Main/To Waterfront Station,,0,2063580,283328,0,1
6613,1,13527241,3 Main/To Waterfront Station,,0,2063575,283328,0,1
6613,1,13527242,3 Main/To Waterfront Station,,0,2063574,283328,0,1
6613,1,13527243,3 Main/To Waterfront Station,,0,2063576,283328,0,1
6613,1,13527244,3 Main/To Waterfront Station,,0,2063579,283328,0,1
6613,1,13527245,3 Main/To Waterfront Station,,0,2063578,283328,0,1
6613,1,13527246,3 Main/To Waterfront Station,,0,2063582,283328,0,1
6613,1,13527247,3 Main/To Waterfront Station,,0,2063581,283328,0,1
6613,1,13527248,3 Main/To Waterfront Station,,0,2063583,283328,0,1
6613,1,13527249,3 Main/To Waterfront Station,,0,2063580,283328,0,1
6613,1,13527250,3 Main/To Waterfront Station,,0,2063582,283328,0,1
6613,1,13527251,3 Main/To Waterfront Station,,0,2063580,283328,0,1
6613,1,13527252,3 Main/To Waterfront Station,,0,2063576,283328,0,1
6613,1,13527253,3 Main/To Waterfront Station,,0,2063579,283328,0,1
6613,1,13527254,3 Main/To Waterfront Station,,0,2063582,283328,0,1
6613,1,13527255,3 Main/To Waterfront Station,,0,2063581,283328,0,1
6613,1,13527256,3 Main/To Waterfront Station,,0,2063580,283328,0,1
